id_country,country,month,description,quantity
CYN,Cyprus,1,"METAL SIGN,CUPCAKE SINGLE HOOK",40
CYN,Cyprus,2,HEART DECORATION PAINTED ZINC ,288
CYN,Cyprus,3,BOYS ALPHABET IRON ON PATCHES,288
CYN,Cyprus,6,SET OF 4 PANTRY JELLY MOULDS,24
CYN,Cyprus,9,EDWARDIAN PARASOL NATURAL,33
CYN,Cyprus,10,HANGING WOOD AND FELT FLOWER,96
CYN,Cyprus,11,PARTY TIME PENCIL ERASERS,28
CYN,Cyprus,12,HEART DECORATION PAINTED ZINC ,96
,Czech Republic,2,COLOUR GLASS T-LIGHT HOLDER HANGING,48
CZE,Czech Republic,10,WOODEN STAR CHRISTMAS SCANDINAVIAN,72
DNK,Denmark,2,MINI JIGSAW CIRCUS PARADE ,24
DNK,Denmark,3,GROW A FLYTRAP OR SUNFLOWER IN TIN,144
DNK,Denmark,5,WRAP CAROUSEL,25
DNK,Denmark,6,LUNCH BAG SUKI DESIGN ,125
DNK,Denmark,7,DOLLY GIRL CHILDRENS BOWL,24
DNK,Denmark,8,RED RETROSPOT WRAP ,25
DNK,Denmark,9,RED  HARMONICA IN BOX ,240
DNK,Denmark,10,SET OF 6 TEA TIME BAKING CASES,256
DNK,Denmark,11,FRENCH STYLE STORAGE JAR CAFE ,48
DNK,Denmark,12,60 CAKE CASES DOLLY GIRL DESIGN,120
NULL,EIRE,1,SMALL STRIPES CHOCOLATE GIFT BAG ,384
NULL,EIRE,2,SMALL POPCORN HOLDER,400
NULL,EIRE,3,60 TEATIME FAIRY CAKE CASES,288
NULL,EIRE,4,COOK WITH WINE METAL SIGN ,144
NULL,EIRE,5,PACK OF 72 RETROSPOT CAKE CASES,288
NULL,EIRE,6,BATHROOM METAL SIGN ,442
NULL,EIRE,7,36 DOILIES VINTAGE CHRISTMAS,588
NULL,EIRE,8,SET OF 6 NATIVITY MAGNETS ,480
NULL,EIRE,9,"ASSORTED FLOWER COLOUR ""LEIS""",960
NULL,EIRE,10,EASTER DECORATION HANGING BUNNY,704
NULL,EIRE,11,WHITE HANGING HEART T-LIGHT HOLDER,432
NULL,EIRE,12,ASSORTED INCENSE PACK,1440
NULL,European Community,4,NATURAL SLATE HEART CHALKBOARD ,6
NULL,European Community,6,BUTTERFLIES STICKERS,12
NULL,European Community,7,RED ROCKING HORSE HAND PAINTED,24
FIN,Finland,1,PACK OF 12 BLUE PAISLEY TISSUES ,144
FIN,Finland,2,PACK OF 72 RETROSPOT CAKE CASES,24
FIN,Finland,3,RED POLKADOT BEAKER ,66
FIN,Finland,4,ICE CREAM PEN LIP GLOSS ,96
FIN,Finland,6,DRAWER KNOB CERAMIC BLACK,48
FIN,Finland,7,CHILDRENS CUTLERY POLKADOT PINK,72
FIN,Finland,8,ENGLISH ROSE NOTEBOOK A7 SIZE,48
FIN,Finland,9,DOUGHNUT LIP GLOSS ,120
FIN,Finland,10,CHILDRENS CUTLERY POLKADOT PINK,76
FIN,Finland,11,CHILDRENS CUTLERY POLKADOT PINK,144
FIN,Finland,12,60 CAKE CASES VINTAGE CHRISTMAS,144
FRA,France,1,MINI WOODEN HAPPY BIRTHDAY GARLAND,576
FRA,France,2,MINI PAINT SET VINTAGE ,252
FRA,France,3,MINI PAINT SET VINTAGE ,288
FRA,France,4,INFLATABLE POLITICAL GLOBE ,120
FRA,France,5,RABBIT NIGHT LIGHT,336
FRA,France,6,PENS ASSORTED FUNNY FACE,360
FRA,France,7,RABBIT NIGHT LIGHT,192
FRA,France,8,RABBIT NIGHT LIGHT,432
FRA,France,9,MINI PAINT SET VINTAGE ,252
FRA,France,10,RABBIT NIGHT LIGHT,1008
FRA,France,11,RABBIT NIGHT LIGHT,1510
FRA,France,12,FELT FARM ANIMAL WHITE BUNNY ,192
DEU,Germany,1,PACK OF 6 BIRDY GIFT TAGS,168
DEU,Germany,2,PACK OF 6 BIRDY GIFT TAGS,300
DEU,Germany,3,PACK OF 6 BIRDY GIFT TAGS,312
DEU,Germany,4,MINI CAKE STAND T-LIGHT HOLDER,288
DEU,Germany,5,ASSORTED COLOURS SILK FAN,732
DEU,Germany,6,ASSORTED COLOURS SILK FAN,360
DEU,Germany,7,ROUND SNACK BOXES SET OF4 WOODLAND ,144
DEU,Germany,8,SET OF 12 FAIRY CAKE BAKING CASES,208
DEU,Germany,9,POPART WOODEN PENCILS ASST,200
DEU,Germany,10,POPART WOODEN PENCILS ASST,600
DEU,Germany,11,BOYS ALPHABET IRON ON PATCHES,288
DEU,Germany,12,JAM MAKING SET PRINTED,144
GRC,Greece,1,4 LAVENDER BOTANICAL DINNER CANDLES,48
GRC,Greece,3,HANGING CHICK GREEN DECORATION,24
GRC,Greece,4,BIG DOUGHNUT FRIDGE MAGNETS,12
GRC,Greece,7,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24
HKG,Hong Kong,1,ROUND SNACK BOXES SET OF4 WOODLAND ,96
HKG,Hong Kong,3,Manual,0
HKG,Hong Kong,4,10 COLOUR SPACEBOY PEN,48
HKG,Hong Kong,5,ETCHED GLASS COASTER,48
HKG,Hong Kong,6,WORLD WAR 2 GLIDERS ASSTD DESIGNS,144
HKG,Hong Kong,8,CHILDRENS CUTLERY POLKADOT PINK,48
HKG,Hong Kong,9,Manual,1
HKG,Hong Kong,10,DINOSAUR KEYRINGS ASSORTED,36
HKG,Hong Kong,11,Manual,1
ISL,Iceland,1,60 TEATIME FAIRY CAKE CASES,24
ISL,Iceland,4,ICE CREAM SUNDAE LIP GLOSS,240
ISL,Iceland,6,NAMASTE SWAGAT INCENSE,36
ISL,Iceland,8,3D DOG PICTURE PLAYING CARDS,36
ISL,Iceland,10,RABBIT NIGHT LIGHT,48
ISL,Iceland,12,MINI PAINT SET VINTAGE ,36
ISR,Israel,1,RED RETROSPOT PLATE ,16
ISR,Israel,2,ROUND SNACK BOXES SET OF4 WOODLAND ,48
ISR,Israel,4,EMERGENCY FIRST AID TIN ,12
ISR,Israel,7,DOILEY STORAGE TIN,48
ISR,Israel,8,RED RETROSPOT CHARLOTTE BAG,100
ISR,Israel,9,ANGEL DECORATION STARS ON DRESS,48
ISR,Israel,10,WRAP ENGLISH ROSE ,25
ITA,Italy,1,72 SWEETHEART FAIRY CAKE CASES,24
ITA,Italy,2,PLASTERS IN TIN CIRCUS PARADE ,12
ITA,Italy,3,WOODLAND CHARLOTTE BAG,40
ITA,Italy,4,"FEATHER PEN,HOT PINK",96
ITA,Italy,5,FAIRY TALE COTTAGE NIGHTLIGHT,24
ITA,Italy,6,RABBIT NIGHT LIGHT,24
ITA,Italy,7,SET OF 3 CAKE TINS PANTRY DESIGN ,9
ITA,Italy,8,SET/4 DAISY MIRROR MAGNETS,72
ITA,Italy,9,CANDLEHOLDER PINK HANGING HEART,6
ITA,Italy,10,ICE CREAM BUBBLES,200
ITA,Italy,11,"FEATHER PEN,HOT PINK",144
ITA,Italy,12,PACK OF 60 MUSHROOM CAKE CASES,24
JPN,Japan,2,PICTURE DOMINOES,144
JPN,Japan,3,SET 3 SONG BIRD PAPER EGGS ASSORTED,6
JPN,Japan,4,MAGIC DRAWING SLATE BAKE A CAKE ,576
JPN,Japan,5,JAZZ HEARTS PURSE NOTEBOOK,96
JPN,Japan,6,PACK OF 12 COLOURED PENCILS,576
JPN,Japan,7,CHARLOTTE BAG DOLLY GIRL DESIGN,100
JPN,Japan,9,RAIN PONCHO RETROSPOT,72
JPN,Japan,10,RABBIT NIGHT LIGHT,960
JPN,Japan,11,RABBIT NIGHT LIGHT,2160
JPN,Japan,12,ROUND SNACK BOXES SET OF 4 FRUITS ,1488
LBN,Lebanon,1,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24
LTU,Lithuania,12,FELTCRAFT DOLL ROSIE,48
NULL,Malta,6,FILIGREE HEART BIRD WHITE ,24
NULL,Malta,8,WRAP CHRISTMAS VILLAGE,25
NULL,Malta,11,CHRISTMAS PUDDING TRINKET POT ,48
NLD,Netherlands,1,PACK OF 72 RETROSPOT CAKE CASES,1680
NLD,Netherlands,2,DOLLY GIRL LUNCH BOX,448
NLD,Netherlands,3,DOLLY GIRL LUNCH BOX,652
NLD,Netherlands,4,JUMBO BAG RED RETROSPOT,200
NLD,Netherlands,5,PACK OF 72 RETROSPOT CAKE CASES,1200
NLD,Netherlands,6,ROUND SNACK BOXES SET OF4 WOODLAND ,540
NLD,Netherlands,7,SET OF 12 FAIRY CAKE BAKING CASES,1
NLD,Netherlands,8,SPACEBOY LUNCH BOX ,896
NLD,Netherlands,9, DOLLY GIRL BEAKER,400
NLD,Netherlands,10,RABBIT NIGHT LIGHT,2400
NLD,Netherlands,11,MINI PAINT SET VINTAGE ,1152
NLD,Netherlands,12,WALL TIDY RETROSPOT ,300
NOR,Norway,2,TEA BAG PLATE RED RETROSPOT,24
NOR,Norway,3,PINK HEART SHAPE EGG FRYING PAN,36
NOR,Norway,6,RAIN PONCHO RETROSPOT,96
NOR,Norway,7,HOUSE SHAPE PENCIL SHARPENER,48
NOR,Norway,8,MINI PAINT SET VINTAGE ,36
NOR,Norway,9,PACK OF 72 RETROSPOT CAKE CASES,144
NOR,Norway,10,PACK OF 72 SKULL CAKE CASES,120
NOR,Norway,11,SMALL FOLDING SCISSOR(POINTED EDGE),240
NOR,Norway,12,PINK HEART SHAPE EGG FRYING PAN,144
POL,Poland,1,JAM MAKING SET PRINTED,36
POL,Poland,2,SET OF 3 CAKE TINS PANTRY DESIGN ,24
POL,Poland,3,CERAMIC CAKE DESIGN SPOTTED MUG,24
POL,Poland,4,STRAWBERRY CERAMIC TRINKET BOX,72
POL,Poland,5,JAM MAKING SET PRINTED,60
POL,Poland,6,JAM JAR WITH PINK LID,12
POL,Poland,7,LARGE CHINESE STYLE SCISSOR,40
POL,Poland,8,RABBIT NIGHT LIGHT,48
POL,Poland,9,FRENCH PAISLEY CUSHION COVER,24
POL,Poland,11,CANDY SPOT EGG WARMER RABBIT,48
POL,Poland,12,RED HANGING HEART T-LIGHT HOLDER,32
PRT,Portugal,1,60 TEATIME FAIRY CAKE CASES,144
PRT,Portugal,2,PINK POLKADOT WRAP ,25
PRT,Portugal,3,MINI PAINT SET VINTAGE ,108
PRT,Portugal,4,ASSORTED EASTER GIFT TAGS,72
PRT,Portugal,5,CHRISTMAS GINGHAM STAR,36
PRT,Portugal,6,POCKET BAG BLUE PAISLEY RED SPOT,24
PRT,Portugal,7,POLKADOT PEN,144
PRT,Portugal,8,WRAP SUKI AND FRIENDS,50
PRT,Portugal,9,ICE CREAM PEN LIP GLOSS ,72
PRT,Portugal,10,RED RETROSPOT WRAP ,75
PRT,Portugal,11,JUMBO BAG PAISLEY PARK,60
PRT,Portugal,12,LUNCH BAG CARS BLUE,34
NULL,RSA,10,4 TRADITIONAL SPINNING TOPS,12
SAU,Saudi Arabia,2,ASSORTED BOTTLE TOP  MAGNETS ,12
SGP,Singapore,1,SMALL POPCORN HOLDER,100
SGP,Singapore,4,SMALL POPCORN HOLDER,100
SGP,Singapore,7,CHRISTMAS TREE PAINTED ZINC ,288
SGP,Singapore,10,POPCORN HOLDER,100
ESP,Spain,1,PINK 3 PIECE POLKADOT CUTLERY SET,360
ESP,Spain,2,MINI CAKE STAND T-LIGHT HOLDER,48
ESP,Spain,3,LUNCH BAG SUKI DESIGN ,160
ESP,Spain,4,PINK  POLKADOT CUP,32
ESP,Spain,5,ASSORTED COLOUR BIRD ORNAMENT,80
ESP,Spain,6,WRAP DOILEY DESIGN,50
ESP,Spain,7,CHILDRENS CUTLERY POLKADOT BLUE,360
ESP,Spain,8,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96
ESP,Spain,9,HANGING WOOD AND FELT FLOWER,96
ESP,Spain,10,VANILLA SCENT CANDLE JEWELLED BOX,288
ESP,Spain,11,CHILDRENS CUTLERY POLKADOT PINK,360
ESP,Spain,12,LUNCH BAG PINK POLKADOT,100
SWE,Sweden,1,MINI PAINT SET VINTAGE ,576
SWE,Sweden,2,SET OF 9 HEART SHAPED BALLOONS,48
SWE,Sweden,3,12 PENCILS SMALL TUBE RED RETROSPOT,768
SWE,Sweden,4,SET/10 BLUE POLKADOT PARTY CANDLES,24
SWE,Sweden,5,MINI PAINT SET VINTAGE ,576
SWE,Sweden,6,MINI PAINT SET VINTAGE ,36
SWE,Sweden,7,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576
SWE,Sweden,8,ASSORTED COLOURS SILK FAN,720
SWE,Sweden,9,BUBBLEGUM RING ASSORTED,720
SWE,Sweden,10,MINI PAINT SET VINTAGE ,576
SWE,Sweden,11,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288
SWE,Sweden,12,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576
CHE,Switzerland,1,ROUND SNACK BOXES SET OF4 WOODLAND ,138
CHE,Switzerland,2,DINOSAUR KEYRINGS ASSORTED,72
CHE,Switzerland,3,ASSORTED EASTER GIFT TAGS,156
CHE,Switzerland,4,JUMBO BAG APPLES,200
CHE,Switzerland,5,BALLOON WATER BOMB PACK OF 35,60
CHE,Switzerland,6,SPACEBOY GIFT WRAP,125
CHE,Switzerland,7,PLASTERS IN TIN SPACEBOY,132
CHE,Switzerland,8,GIRLS ALPHABET IRON ON PATCHES ,288
CHE,Switzerland,9,WOODLAND  STICKERS,180
CHE,Switzerland,10,WRAP RED APPLES ,100
CHE,Switzerland,11,HAND WARMER RED RETROSPOT,108
CHE,Switzerland,12,PLASTERS IN TIN WOODLAND ANIMALS,36
ARE,United Arab Emirates,2,ASSORTED CHEESE FRIDGE MAGNETS,72
ARE,United Arab Emirates,9,BLUE PAISLEY TISSUE BOX,36
GBR,United Kingdom,1,MEDIUM CERAMIC TOP STORAGE JAR,74215
GBR,United Kingdom,2,EMPIRE DESIGN ROSETTE,3976
GBR,United Kingdom,3,JUMBO BAG RED RETROSPOT,5061
GBR,United Kingdom,4,WORLD WAR 2 GLIDERS ASSTD DESIGNS,9567
GBR,United Kingdom,5,SMALL POPCORN HOLDER,6729
GBR,United Kingdom,6,JUMBO BAG RED RETROSPOT,3160
GBR,United Kingdom,7,GIRLS ALPHABET IRON ON PATCHES ,5019
GBR,United Kingdom,8,ASSORTED COLOUR BIRD ORNAMENT,6497
GBR,United Kingdom,9,JUMBO BAG RED RETROSPOT,4061
GBR,United Kingdom,10,WORLD WAR 2 GLIDERS ASSTD DESIGNS,8084
GBR,United Kingdom,11,ASSTD DESIGN 3D PAPER STICKERS,12551
GBR,United Kingdom,12,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4571
NULL,Unspecified,4,60 TEATIME FAIRY CAKE CASES,24
NULL,Unspecified,5,SET/6 BEAD COASTERS GAUZE BAG GOLD,48
NULL,Unspecified,6,PACK OF 6 LARGE FRUIT STRAWS ,36
NULL,Unspecified,7,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48
NULL,Unspecified,8,60 CAKE CASES VINTAGE CHRISTMAS,36
NULL,Unspecified,9,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48
NULL,Unspecified,11,12 PENCIL SMALL TUBE WOODLAND,24
USA,USA,4,PARTY CONES CANDY TREE DECORATION,36
USA,USA,10,SET/10 BLUE POLKADOT PARTY CANDLES,72
