id_country,country,month,description,quantity
NULL,EIRE,10,POPCORN HOLDER,-32
NULL,EIRE,11,CHOCOLATE HOT WATER BOTTLE,-24
NULL,EIRE,12,SMALLFOLKART BAUBLE CHRISTMAS DEC,-96
NULL,European Community,6,JAM MAKING SET WITH JARS,-2
FIN,Finland,3,RED RETROSPOT PUDDING BOWL,-1
FIN,Finland,4,POLKADOT COFFEE CUP & SAUCER PINK,-27
FIN,Finland,8,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-1
FIN,Finland,10,POSTAGE,-1
FIN,Finland,11,POSTAGE,-3
FRA,France,1,PLASTERS IN TIN CIRCUS PARADE ,-12
FRA,France,2,RETRO PLASTIC POLKA TRAY,-15
FRA,France,3,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,-24
FRA,France,4,MAGNETS PACK OF 4 SWALLOWS,-60
FRA,France,5,BLACK KITCHEN SCALES,-2
FRA,France,6,WRAP GREEN PEARS ,-25
FRA,France,7,CHEST OF DRAWERS GINGHAM HEART ,-4
FRA,France,8,LUNCH BAG RED RETROSPOT,-6
FRA,France,9,MULTICOLOUR  CONFETTI IN TUBE,-21
FRA,France,10,ZINC FOLKART SLEIGH BELLS,-36
FRA,France,11,WRAP CHRISTMAS VILLAGE,-250
FRA,France,12,LUNCH BAG DOLLY GIRL DESIGN,-3
DEU,Germany,1,SET/10 RED POLKADOT PARTY CANDLES,-24
DEU,Germany,2,5 HOOK HANGER MAGIC TOADSTOOL,-29
DEU,Germany,3,GUMBALL COAT RACK,-12
DEU,Germany,4,BLUE POLKADOT COFFEE MUG,-14
DEU,Germany,5,JAM JAR WITH PINK LID,-10
DEU,Germany,6,RED RETROSPOT WRAP ,-25
DEU,Germany,7,36 PENCILS TUBE WOODLAND,-32
DEU,Germany,8,TRAVEL CARD WALLET KEEP CALM,-24
DEU,Germany,9,SET OF 60 PANTRY DESIGN CAKE CASES ,-24
DEU,Germany,10,PANTRY MAGNETIC  SHOPPING LIST,-14
DEU,Germany,11,BOYS ALPHABET IRON ON PATCHES,-288
DEU,Germany,12,REGENCY CAKESTAND 3 TIER,-21
GRC,Greece,7,POSTAGE,-1
HKG,Hong Kong,3,Manual,-1
HKG,Hong Kong,9,Manual,-1
HKG,Hong Kong,10,RED RETROSPOT CAKE STAND,-1
HKG,Hong Kong,11,Manual,-1
ISR,Israel,12,SPACEBOY TV DINNER TRAY,-32
ITA,Italy,1,36 PENCILS TUBE POSY,-9
ITA,Italy,2,Manual,-1
ITA,Italy,3,SET OF 3 CAKE TINS PANTRY DESIGN ,-2
ITA,Italy,6,CANDLEHOLDER PINK HANGING HEART,-2
ITA,Italy,8,PACK OF 6 SKULL PAPER CUPS,-12
ITA,Italy,10,JAM MAKING SET WITH JARS,-4
ITA,Italy,11,JAM MAKING SET WITH JARS,-9
ITA,Italy,12,SWEETHEART CARRY-ALL BASKET,-2
JPN,Japan,1,PAPER BUNTING COLOURED LACE,-40
JPN,Japan,3,SET 3 PAPER VINTAGE CHICK PAPER EGG,-12
JPN,Japan,4,ROUND SNACK BOXES SET OF 4 FRUITS ,-624
JPN,Japan,8,36 PENCILS TUBE RED RETROSPOT,-16
NULL,Malta,6,SET/3 ROSE CANDLE IN JEWELLED BOX,-2
NULL,Malta,8,CHRISTMAS PUDDING TRINKET POT ,-4
NULL,Malta,11,GRAND CHOCOLATECANDLE,-3
NLD,Netherlands,2,HANGING CHICK CREAM DECORATION,-24
NLD,Netherlands,6,ASS FLORAL PRINT MULTI SCREWDRIVER,-12
NLD,Netherlands,8,Manual,-480
NLD,Netherlands,11,POSTAGE,-1
NOR,Norway,3,BLUE HARMONICA IN BOX ,-12
NOR,Norway,8,VINTAGE HEADS AND TAILS CARD GAME ,-12
POL,Poland,3,CERAMIC CAKE DESIGN SPOTTED MUG,-6
POL,Poland,6,PHOTO FRAME 3 CLASSIC HANGING,-4
POL,Poland,7,RECIPE BOX PANTRY YELLOW DESIGN,-3
POL,Poland,11,CERAMIC CAKE DESIGN SPOTTED PLATE,-4
PRT,Portugal,1,JAM MAKING SET WITH JARS,-12
PRT,Portugal,5,Manual,-5
PRT,Portugal,6,SET OF 3 REGENCY CAKE TINS,-1
PRT,Portugal,8,ASSORTED TUTTI FRUTTI MIRROR,-12
PRT,Portugal,10,Manual,-2
PRT,Portugal,12,TRADITIONAL WOODEN CATCH CUP GAME ,-12
SAU,Saudi Arabia,3,GLASS JAR DAISY FRESH COTTON WOOL,-5
SGP,Singapore,4,Manual,-5
SGP,Singapore,10,Manual,-2
ESP,Spain,1,RED RETROSPOT CAKE STAND,-6
ESP,Spain,2,CERAMIC BOWL WITH STRAWBERRY DESIGN,-1
ESP,Spain,3,REGENCY CAKESTAND 3 TIER,-2
ESP,Spain,6,Manual,-1
ESP,Spain,7,JAM MAKING SET WITH JARS,-11
ESP,Spain,8,ALARM CLOCK BAKELIKE GREEN,-1
ESP,Spain,9,PLASMATRONIC LAMP,-1
ESP,Spain,10,VANILLA SCENT CANDLE JEWELLED BOX,-288
ESP,Spain,11,MILK MAIDS MUG ,-12
SWE,Sweden,1,POSTAGE,-1
SWE,Sweden,3,VICTORIAN SEWING KIT,-144
SWE,Sweden,5,WOODEN OWLS LIGHT GARLAND ,-4
SWE,Sweden,8,6 RIBBONS RUSTIC CHARM,-6
SWE,Sweden,11,MINI LIGHTS WOODLAND MUSHROOMS,-5
SWE,Sweden,12,SET OF 3 BABUSHKA STACKING TINS,-240
CHE,Switzerland,2,BLACK KITCHEN SCALES,-1
CHE,Switzerland,4,JUMBO BAG APPLES,-100
CHE,Switzerland,5,RED RETROSPOT CAKE STAND,-3
CHE,Switzerland,6,GLASS BON BON JAR,-2
CHE,Switzerland,7,MAGIC SHEEP WOOL GROWING FROM PAPER,-120
CHE,Switzerland,8,VINTAGE LEAF MAGNETIC NOTEPAD,-8
CHE,Switzerland,9,CHERRY BLOSSOM  DECORATIVE FLASK,-2
CHE,Switzerland,10,STORAGE TIN VINTAGE DOILY ,-5
CHE,Switzerland,11,POSTAGE,-2
GBR,United Kingdom,1,MEDIUM CERAMIC TOP STORAGE JAR,-74215
GBR,United Kingdom,2,Manual,-217
GBR,United Kingdom,3,Discount,-724
GBR,United Kingdom,4,FAIRY CAKE FLANNEL ASSORTED COLOUR,-3114
GBR,United Kingdom,5,Manual,-1464
GBR,United Kingdom,6,HERB MARKER BASIL,-1515
GBR,United Kingdom,7,COLOUR GLASS. STAR T-LIGHT HOLDER,-722
GBR,United Kingdom,8,HOME SWEET HOME MUG,-829
GBR,United Kingdom,9,PANTRY CHOPPING BOARD,-943
GBR,United Kingdom,10,PINK BLUE FELT CRAFT TRINKET BOX,-2592
GBR,United Kingdom,11,POPCORN HOLDER,-297
GBR,United Kingdom,12,ROTATING SILVER ANGELS T-LIGHT HLDR,-9369
USA,USA,10,MINI PAINT SET VINTAGE ,-36
